index,source,target
0,Nothing Equipped,
1,Leather Arms,
2,Chainmail Arms,
3,Hunter's Arms,
4,Hunter's Guard,
5,Bone Arms,
6,Bone Guard,
7,Veloci Arms,
8,Veloci Guard,
9,Battle Arms,
10,Battle Guard,
11,Vespoid Arms,
12,Vespoid Guard,
13,Hornetaur Arms,
14,Hornetaur Guard,
15,High Metal Arms,
16,High Metal Guard,
17,Gen Arms,
18,Gen Guard,
19,Kut-Ku Arms,
20,Kut-Ku Guard,
21,Io Arms,
22,Io Guard,
23,Gypceros Arms,
24,Gypceros Guard,
25,Cepha Arms,
26,Cepha Guard,
27,Steel Arms,
28,Rathian Arms,
29,Rathian Guard,
30,Khezu Arms,
31,Khezu Guard,
32,Rathalos Arms,
33,Rathalos Guard,
34,Plesioth Arms,
35,Plesioth Guard,
36,King Lobster Arms,
37,King Lobster Guard,
38,Basarios Arms,
39,Basarios Guard,
40,Diablos Arms,
41,Diablos Guard,
42,Monoblos Arms,
43,Monoblos Guard,
44,Gravios Arms,
45,Gravios Guard,
46,Black Belt Arms,
47,Mosswine Punch,
48,Makluva Sleeve,
49,Veloci Hands,
50,Gen Hands,
51,Io Hands,
52,忍の Kote・陽,Shinobi Arms Light
53,忍の Kote・陰,Shinobi Arms Shadow
54,Guardian Arms,
55,Guardian Guard,
56,Helper Cuffs,
57,Healer Cuffs,
58,Garuga Arms,
59,Garuga Guard,
60,暁丸【 Kote 】,Akatsuki [Arms]
61,曙丸【 Kote 】,Daybreak [Arms]
62,凛【 Kote 】,Rin [Kote]
63,艶【 Kote 】,Luster[Kote]
64,Dragon クロウ,Dragon Claw
65,Dragon フィスト,Dragon Fist
66,Leather U Arms,
67,Chainmail U Arms,
68,Hunter's U Arms,
69,Hunter's U Guard,
70,Bone U Arms,
71,Bone U Guard,
72,Gia Arms,
73,Gia Guard,
74,Battle U Arms,
75,Battle U Guard,
76,Vespoid U Arms,
77,Vespoid U Guard,
78,Hornetaur U Arms,
79,Hornetaur U Guard,
80,High Metal U Arms,
81,High Metal U Guard,
82,Gen U Arms,
83,Gen U Guard,
84,Kut-Ku U Arms,
85,Kut-Ku U Guard,
86,Io U Arms,
87,Io U Guard,
88,Gypceros U Arms,
89,Gypceros U Guard,
90,Cepha U Arms,
91,Cepha U Guard,
92,Steel U Arms,
93,Rath Heart Arms,
94,Rath Heart Guard,
95,Khezu U Arms,
96,Khezu U Guard,
97,Rath Soul Arms,
98,Rath Soul Guard,
99,Plesioth U Arms,
100,Plesioth U Guard,
101,Basarios U Arms,
102,Basarios U Guard,
103,Diablos U Arms,
104,Diablos U Guard,
105,Monodevil Arms,
106,Monodevil Guard,
107,Gravios U Arms,
108,Gravios U Guard,
109,忍の Kote・空,Shinobi Arms Sky
110,忍の Kote・海,Shinobi Arms Sea
111,Guardian U Arms,
112,Guardian U Guard,
113,Helper U Cuffs,
114,Healer U Cuffs,
115,暁丸・皇【 Kote 】,Akatsuki Sovereign [Arms]
116,曙丸・皇【 Kote 】,Dawn Emperor [Arms]
117,凛・皇【 Kote 】,Grace Emperor [Kote]
118,艶・皇【 Kote 】,Lustrous Emperor [Kote]
119,ミラ Vulcan クロウ,Mira Vulcan Claw
120,ミラ Vulcan フィスト,Mira Vulcan Fist
121,ゴールド Lune Arms,Gold Lune Arms
122,ゴールド Lune Guard,Gold Lune Guard
123,Silver Sol Arms,
124,Silver Sol Guard,
125,Leather S Arms,
126,Chainmail S Arms,
127,Hunter's S Arms,
128,Hunter's S Guard,
129,Bone S Arms,
130,Bone S Guard,
131,Veloci S Arms,
132,Veloci S Guard,
133,Battle S Arms,
134,Battle S Guard,
135,Vespoid S Arms,
136,Vespoid S Guard,
137,Hornetaur S Arms,
138,Hornetaur S Guard,
139,High Metal S Arms,
140,High Metal S Guard,
141,Gen S Arms,
142,Gen S Guard,
143,Kut-Ku S Arms,
144,Kut-Ku S Guard,
145,Io S Arms,
146,Io S Guard,
147,Gypceros S Arms,
148,Gypceros S Guard,
149,Cepha S Arms,
150,Cepha S Guard,
151,Steel S Arms,
152,Rathian S Arms,
153,Rathian S Guard,
154,Khezu S Arms,
155,Khezu S Guard,
156,Rathalos S Arms,
157,Rathalos S Guard,
158,Plesioth S Arms,
159,Plesioth S Guard,
160,Basarios S Arms,
161,Basarios S Guard,
162,Diablos S Arms,
163,Diablos S Guard,
164,Monoblos S Arms,
165,Monoblos S Guard,
166,Gravios S Arms,
167,Gravios S Guard,
168,忍の Kote・Heaven,Shinobi Arms Heaven
169,忍の Kote・Earth,Shinobi Kote Earth
170,Guild Guard Claws Crimson,
171,Guild Guard Cuffs Crimson,
172,Guild Guard Claws Crimson,
173,Guild Guard Cuffs Crimson,
174,暁丸・覇【 Kote 】,Akatsuki Supremacy [Arms]
