index,source,target
0,Nothing Equipped,
1,Leather Mail,
2,Chainmail Mail,
3,Hunter's Mail,
4,Hunter's Vest,
5,Bone Mail,
6,Bone Vest,
7,Veloci Mail,
8,Veloci Vest,
9,Battle Mail,
10,Battle Vest,
11,Vespoid Mail,
12,Vespoid Vest,
13,Hornetaur Mail,
14,Hornetaur Vest,
15,High Metal Mail,
16,High Metal Vest,
17,Gen Mail,
18,Gen Vest,
19,Kut-Ku Mail,
20,Kut-Ku Vest,
21,Io Mail,
22,Io Vest,
23,Gypceros Mail,
24,Gypceros Vest,
25,Cepha Mail,
26,Cepha Vest,
27,Steel Mail,
28,Rathian Mail,
29,Rathian Vest,
30,Khezu Mail,
31,Khezu Vest,
32,Rathalos Mail,
33,Rathalos Vest,
34,Plesioth Mail,
35,Plesioth Vest,
36,King Lobster Shell,
37,King Lobster Skin,
38,Basarios Mail,
39,Basarios Vest,
40,Diablos Mail,
41,Diablos Vest,
42,Monoblos Mail,
43,Monoblos Vest,
44,Gravios Mail,
45,Gravios Vest,
46,Black Belt Mail,
47,Mosswine Vest,
48,Melahoa Ribplate,
49,Makluva Cover,
50,Bistro Vest,
51,Veloci ーツボディ,Veloci Body
52,Gen ーツボディ,Gen Suit Body
53,Io ーツボディ,Io Suit Body
54,忍の Shozoku・陽,Ninja Garb Light
55,忍の Shozoku・陰,Shinobi Shozoku Yin
56,Guardian Suit,
57,Guardian Vest,
58,Helper Vest,
59,Healer Vest,
60,Garuga Mail,
61,Garuga Vest,
62,暁丸【胴当て】,Akatsuki [Body]
63,曙丸【胴当て】,Daybreak [Body]
64,凛 [Chestplate 】,Dignified [Chestplate]
65,艶 [Chestplate 】,Luster [Chestplate]
66,Dragon Hide,
67,Dragon Skin,
68,Leather U Mail,
69,Chainmail U Mail,
70,Hunter's U Mail,
71,Hunter's U Vest,
72,Bone U Mail,
73,Bone U Vest,
74,Gia Mail,
75,Gia Vest,
76,Battle U Mail,
77,Battle U Vest,
78,Vespoid U Mail,
79,Vespoid U Vest,
80,Hornetaur U Mail,
81,Hornetaur U Vest,
82,High Metal U Mail,
83,High Metal U Vest,
84,Gen U Mail,
85,Gen U Vest,
86,Kut-Ku U Mail,
87,Kut-Ku U Vest,
88,Io U Mail,
89,Io U Vest,
90,Gypceros U Mail,
91,Gypceros U Vest,
92,Cepha U Mail,
93,Cepha U Vest,
94,Steel U Mail,
95,Rath Heart Mail,
96,Rath Heart Vest,
97,Khezu U Mail,
98,Khezu U Vest,
99,Rath Soul Mail,
100,Rath Soul Vest,
101,Plesioth U Mail,
102,Plesioth U Vest,
103,Basarios U Mail,
104,Basarios U Vest,
105,Diablos U Mail,
106,Diablos U Vest,
107,Monodevil Mail,
