index,source,target
0,Nothing Equipped,
1,Leather Helm,
2,Chainmail Helm,
3,Hunter's Helm,
4,Hunter's Cap,
5,Bone Helm,
6,Bone Cap,
7,Veloci Helm,
8,Veloci Cap,
9,Battle Helm,
10,Battle Cap,
11,Vespoid Helm,
12,Vespoid Cap,
13,Hornetaur Helm,
14,Hornetaur Cap,
15,High Metal Helm,
16,High Metal Cap,
17,Gen Helm,
18,Gen Cap,
19,Io Helm,
20,Io Cap,
21,Gypceros Helm,
22,Gypceros Cap,
23,Cepha Helm,
24,Cepha Cap,
25,Rathian Helm,
26,Rathian Cap,
27,Khezu Helm,
28,Khezu Cap,
29,Rathalos Helm,
30,Rathalos Cap,
31,Plesioth Helm,
32,Plesioth Cap,
33,King Lobster Helm,
34,Basarios Helm,
35,Basarios Cap,
36,Diablos Helm,
37,Diablos Cap,
38,Monoblos Helm,
39,Monoblos Cap,
40,Gravios Helm,
41,Gravios Cap,
42,Black Belt Helm,
43,Mosswine Mask,
44,Felyne Mask,
45,Chaoshroom,
46,Melahoa Vizor,
47,Makluva Hood,
48,Bistro Cap,
49,Veloci Mask,
50,Gen Mask,
51,Io Mask,
52,Bullfango Mask,
53,Red Piercing,
54,Blue Piercing,
55,Yellow Piercing,
56,Black Piercing,
57,Solar Shinobi Mask,
58,Shadow Shinobi Mask,
59,Guardian Helm,
60,Guardian Mask,
61,Helper Hood,
62,Healer Glasses,
63,Skull Face,
64,Garuga Helm,
65,Garuga Cap,
66,Garuga Mask,
67,Auroros Helm,
68,Genesis Headpiece,
69,Borealis Crown,
70,Glyph Crown,
71,Dragon Head,
72,Dragon Face,
73,Leather U Helm,
74,Chainmail U Helm,
75,Hunter's U Helm,
76,Hunter's U Cap,
77,Bone U Helm,
78,Bone U Cap,
79,Gia Helm,
80,Gia Cap,
81,Battle U Helm,
82,Battle U Cap,
83,Vespoid U Helm,
84,Vespoid U Cap,
85,Hornetaur U Helm,
86,Hornetaur U Cap,
87,High Metal U Helm,
88,High Metal U Cap,
89,Gen U Helm,
90,Gen U Cap,
91,Io U Helm,
92,Io U Cap,
93,Gypceros U Helm,
94,Gypceros U Cap,
95,Cepha U Helm,
96,Cepha U Cap,
97,Rath Heart Helm,
98,Rath Heart Cap,
99,Khezu U Helm,
100,Khezu U Cap,
101,Rath Soul Helm,
102,Rath Soul Cap,
103,Plesioth U Helm,
104,Plesioth U Cap,
105,Basarios U Helm,
106,Basarios U Cap,
107,Diablos U Helm,
108,Diablos U Cap,
109,Monodevil Helm,
110,Monodevil Cap,
111,Gravios U Helm,
112,Gravios U Cap,
113,Shinobi Mask・Sky,Shinobi Mask Sky
114,Shinobi Mask・Sea,Shinobi Mask Sea
115,Guardian U Helm,
116,Guardian U Mask,
117,Helper U Hood,
118,Healer U Beret,
119,Emperor Auroros Helm,
120,Emperor Genesis Helm,
121,Emprr Borealis Crown,
122,Emperor Glyph Crown,
123,Fatalis Head,
124,Fatalis Face,
125,Golden Moon Helm,
126,Golden Moon Cap,
127,Silver Sol Helm,
128,Silver Sol Cap,
129,Leather S Helm,
130,Chainmail S Helm,
131,Hunter's S Helm,
132,Hunter's S Cap,
133,Bone S Helm,
134,Bone S Cap,
135,Veloci S Helm,
136,Veloci S Cap,
137,Battle S Helm,
138,Battle S Cap,
139,Vespoid S Helm,
140,Vespoid S Cap,
141,Hornetaur S Helm,
142,Hornetaur S Cap,
143,High Metal S Helm,
144,High Metal S Cap,
145,Gen S Helm,
146,Gen S Cap,
147,Kut-Ku S Helm,
148,Kut-Ku S Cap,
149,Io S Helm,
150,Io S Cap,
151,Gypceros S Helm,
152,Gypceros S Cap,
153,Cepha S Helm,
154,Cepha S Cap,
155,Rathian S Helm,
156,Rathian S Cap,
157,Khezu S Helm,
158,Khezu S Cap,
159,Rathalos S Helm,
160,Rathalos S Cap,
161,Plesioth S Helm,
162,Plesioth S Cap,
163,Basarios S Helm,
164,Basarios S Cap,
165,Diablos S Helm,
166,Diablos S Cap,
167,Monoblos S Helm,
168,Monoblos S Cap,
169,Gravios S Helm,
170,Gravios S Cap,
171,Shinobi Mask・Heaven,Shinobi Mask Heaven
172,Shinobi Mask・Earth,Shinobi Mask Earth
173,Red Guild Tricorne,
174,Red Guild Mask,
175,Red Guild Hat,
176,Red Guild Piercing,
177,Titan Auroros Helm,
178,Titan Genesis Hdpce,
179,Titan Borealis Crown,
180,Titan Glyph Crown,
181,Dragon S Head,
182,Dragon S Face,
183,Hermitaur Helm,
184,Hermitaur Cap,
185,Hermitaur U Helm,
186,Hermitaur U Cap,
187,Hermitaur S Helm,
188,Hermitaur S Cap,
189,Conga Helm,
190,Conga Cap,
191,Conga U Helm,
192,Conga U Cap,
193,Conga S Helm,
194,Conga S Cap,
195,Blango Helm,
196,Blango Cap,
197,Blango U Helm,
198,Blango U Cap,
199,Blango S Helm,
200,Blango S Cap,
201,Ceanataur Helm,
202,Ceanataur Cap,
203,Ceanataur U Helm,
204,Ceanataur U Cap,
205,Ceanataur S Helm,
206,Ceanataur S Cap,
207,Kirin Horn,
208,Kirin Corno,
209,Kirin S Horn,
210,Kirin S Corno,
211,Kushala Glare,
212,Kushala Snarl,
213,Mizuha [Eboshi 】,
214,Toyotama [Eboshi 】,
215,Empress Crown,
216,Empress Mask,
217,Indra Helm,
218,Steadfast Helm,
219,Kaiser Crown,
220,Kaiser Mask,
221,Guardian Mask,
222,Carnage Mask,
223,Golden Hair Tie,
224,Puppetmaster Mask,
225,White Fatalis Head,
226,White Fatalis Face,
227,Black Belt S Helm,
228,Gia Mask,
229,Remobra Mask,
230,Guild Knight Feather,
231,Guild Knight Mask,
232,Maid Headband,
233,Private Glasses,
234,White Piercing,
235,Blue Guild Tricorne,
236,Blue Guild Mask,
237,Blue Guild Hat,
238,Blue Guild Piercing,
239,Lobster Cap,
240,Piercing of Skill,
241,Piercing of Power,
242,Piercing of Life,
243,Expert's Piercing,
244,Craftsman's Piercing,
245,Master's Piercing,
246,Piercing of Fortune,
247,Ill Omen Piercing,
248,Protector's Piercing,
249,Hero's Piercing,
250,F Head 00,
251,F Head 01,
