index,source,target
0,Nothing Equipped,
1,Green Jersey,
2,Blue Jersey,
3,Hunter's Greaves,
4,Hunter's Leggings,
5,Bone Greaves,
6,Bone Leggings,
7,Veloci Greaves,
8,Veloci Leggings,
9,Battle Greaves,
10,Battle Leggings,
11,Silver Metal Boots,
12,Vespoid Greaves,
13,Vespoid Leggings,
14,Hornetaur Greaves,
15,Hornetaur Leggings,
16,High Metal Greaves,
17,High Metal Leggings,
18,Dark Metal Boots,
19,Gen Greaves,
20,Gen Leggings,
21,Pink Metal Boots,
22,Chrome Metal Boots,
23,Io Greaves,
24,Io Leggings,
25,Gypceros Greaves,
26,Gypceros Leggings,
27,Cepha Greaves,
28,Cepha Leggings,
29,Rathian Greaves,
30,Rathian Leggings,
31,Khezu Greaves,
32,Khezu Leggings,
33,Rathalos Greaves,
34,Rathalos Leggings,
35,Plesioth Greaves,
36,Plesioth Leggings,
37,Basarios Greaves,
38,Basarios Leggings,
39,Diablos Greaves,
40,Diablos Leggings,
41,Monoblos Greaves,
42,Monoblos Leggings,
43,Gravios Greaves,
44,Gravios Leggings,
45,Black Belt Greaves,
46,Mosswine Feet,
47,Veloci ーツ Feet,Veloci Feet
48,Gen ーツ Feet,Gen Suit Feet
49,Io ーツ Feet,Io Suit Feet
50,忍の Tabi・陽,Shinobi Tabi Yang
51,忍の Tabi・陰,Ninja Tabi Shadow
52,Guardian Boots,
53,Guardian Feet,
54,Helper Socks,
55,Healer Socks,
56,Garuga Greaves,
57,Garuga Leggings,
58,暁丸【Greaves】,Akatsuki [Legs]
59,曙丸【Greaves】,Daybreak [Legs]
60,凛【 Hakama 】,Rin [Hakama]
61,艶【 Hakama 】,Luster[Hakama]
62,Crimson 凛【 Hakama 】,Crimson Dignity [Hakama]
63,Crimson 艶【 Hakama 】,Crimson Luster [Hakama]
64,Dragon Feet,
65,Dragon Legs,
66,クリーム Jersey,Cream Jersey
67,コーヒー Jersey,Coffee Jersey
68,Hunter's U Greaves,
69,Hunter's U Leggings,
70,Bone U Greaves,
71,Bone U Leggings,
72,Gia Greaves,
73,Gia Leggings,
74,Battle U Greaves,
75,Battle U Leggings,
76,Vespoid U Greaves,
77,Vespoid U Leggings,
78,Hornetaur U Greaves,
79,Hornetaur U Leggings,
80,High Metal U Greaves,
81,High Metal U Leggings,
82,Gen U Greaves,
83,Gen U Leggings,
84,Io U Greaves,
85,Io U Leggings,
86,Gypceros U Greaves,
87,Gypceros U Leggings,
88,Cepha U Greaves,
89,Cepha U Leggings,
90,Rath Heart Greaves,
91,Rath Heart Leggings,
92,Khezu U Greaves,
93,Khezu U Leggings,
94,Rath Soul Greaves,
95,Rath Soul Leggings,
96,Plesioth U Greaves,
97,Plesioth U Leggings,
98,Basarios U Greaves,
99,Basarios U Leggings,
100,Diablos U Greaves,
101,Diablos U Leggings,
102,Monodevil Greaves,
103,Monodevil Leggings,
104,Gravios U Greaves,
105,Gravios U Leggings,
106,忍の Tabi・空,Ninja Tabi Sky
107,忍の Tabi・海,Ninja Tabi Sea
108,Guardian U Boots,
109,Guardian U Feet,
110,Helper U Socks,
111,Healer U Socks,
112,暁丸・皇【Greaves】,Akatsuki Sovereign [Legs]
113,曙丸・皇【Greaves】,Dawn Emperor [Legs]
114,凛・皇【 Hakama 】,Grace Emperor [Hakama]
115,艶・皇【 Hakama 】,Lustrous Emperor [Hakama]
116,ミラ Vulcan Feet,Mira Vulcan Feet
117,ミラ Vulcan Legs,Mira Vulcan Legs
118,ゴールド Lune Greaves,Gold Lune Greaves
119,ゴールド Lune Leggings,Gold Lune Leggings
120,Silver Sol Greaves,
121,Silver Sol Leggings,
122,Green S Jersey,
123,Blue S Jersey,
124,Hunter's S Greaves,
125,Hunter's S Leggings,
126,Bone S Greaves,
127,Bone S Leggings,
128,Veloci S Greaves,
129,Veloci S Leggings,
130,Battle S Greaves,
131,Battle S Leggings,
132,Vespoid S Greaves,
133,Vespoid S Leggings,
134,Hornetaur S Greaves,
135,Hornetaur S Leggings,
136,High Metal S Greaves,
137,High Metal S Leggings,
138,Gen S Greaves,
139,Gen S Leggings,
140,Kut-Ku S Greaves,
141,Kut-Ku S Leggings,
142,Io S Greaves,
143,Io S Leggings,
144,Gypceros S Greaves,
145,Gypceros S Leggings,
146,Cepha S Greaves,
147,Cepha S Leggings,
148,Rathian S Greaves,
149,Rathian S Leggings,
150,Khezu S Greaves,
151,Khezu S Leggings,
152,Rathalos S Greaves,
153,Rathalos S Leggings,
154,Plesioth S Greaves,
155,Plesioth S Leggings,
156,Basarios S Greaves,
157,Basarios S Leggings,
158,Diablos S Greaves,
159,Diablos S Leggings,
160,Monoblos S Greaves,
161,Monoblos S Leggings,
162,Gravios S Greaves,
163,Gravios S Leggings,
164,忍の Tabi・Heaven,Ninja Tabi Heaven
165,忍の Tabi・Earth,Ninja Tabi Earth
166,Guild Guard Boots Crimson,
167,Guild Guard タイツ Crimson,Guild Guard Crimson Tights
168,Guild Guard Boots Crimson,
169,Guild Guard タイツ Crimson,Guild Guard Crimson Tights
170,暁丸・覇 [Greaves 】,Akatsuki Supremacy [Legs]
171,曙丸・覇 [Greaves 】,Dawn Conqueror [Legs]
172,凛・覇【 Hakama 】,Grace Supremacy [Hakama]
173,艶・覇【 Hakama 】,Lustrous Champion [Hakama]
174,Dragon S Feet,
175,Dragon S Legs,
176,Hermitaur Greaves,
177,Hermitaur Leggings,
178,Hermitaur U Greaves,
179,Hermitaur U Leggings,
180,Hermitaur S Greaves,
181,Hermitaur S Leggings,
182,Conga Greaves,
183,Conga Leggings,
184,Conga U Greaves,
185,Conga U Leggings,
186,Conga S Greaves,
187,Conga S Leggings,
188,Blango Greaves,
189,Blango Leggings,
190,Blango U Greaves,
191,Blango U Leggings,
192,Blango S Greaves,
193,Blango S Leggings,
194,Ceanataur Greaves,
195,Ceanataur Leggings,
196,Ceanataur U Greaves,
197,Ceanataur U Leggings,
