index,source,target
0,Nothing Equipped,
1,Leather Belt,
2,Skin Light Belt,
3,Chainmail Belt,
4,Iron Belt,
5,Hunter's Faulds,
6,Hunter's Coat,
7,Bone Faulds,
8,Bone Coat,
9,Veloci Faulds,
10,Veloci Coat,
11,Battle Faulds,
12,Battle Coat,
13,Hide Belt,
14,Vespoid Faulds,
15,Vespoid Coat,
16,Hornetaur Faulds,
17,Hornetaur Coat,
18,High Metal Faulds,
19,High Metal Coat,
20,Gen Faulds,
21,Gen Coat,
22,Chrome Metal Coil,
23,Kut-Ku Faulds,
24,Kut-Ku Coat,
25,Io Faulds,
26,Io Coat,
27,Gypceros Faulds,
28,Gypceros Coat,
29,Cepha Faulds,
30,Cepha Coat,
31,Steel Belt,
32,Rathian Faulds,
33,Rathian Coat,
34,Khezu Faulds,
35,Khezu Coat,
36,Rathalos Faulds,
37,Rathalos Coat,
38,Basarios Faulds,
39,Basarios Coat,
40,Diablos Coil,
41,Diablos Coat,
42,Monoblos Coil,
43,Monoblos Coat,
44,Gravios Faulds,
45,Gravios Coat,
46,Black Belt Faulds,
47,Mosswine Hip,
48,Melahoa Folia,
49,Bistro Apron,
50,忍の Obi・陽,Shinobi's Obi Yang
51,忍の Obi・陰,Shinobi Obi Yin
52,Guardian Coil,
53,Guardian Coat,
54,Helper Skirt,
55,Healer Frill,
56,Garuga Faulds,
57,Garuga Coat,
58,暁丸 [Waist て】,Dawn [Waist]
59,曙丸 [Waist て】,Daybreak [Waist]
60,凛 [Waist て】,Dignified [Waist]
61,艶 [Waist て】,Luster [Waist]
62,Crimson 凛【腰当て】,Crimson Rin [Waist]
63,Crimson 艶【腰当て】,Crimson Luster [Waist]
64,Dragon Wing,
65,Dragon テイル,Dragon Tail
66,Leather U Belt,
67,Chainmail U Belt,
68,Hunter's U Faulds,
69,Hunter's U Coat,
70,Bone U Faulds,
71,Bone U Coat,
72,Gia Faulds,
73,Gia Coat,
74,Battle U Faulds,
75,Battle U Coat,
76,Vespoid U Faulds,
77,Vespoid U Coat,
78,Hornetaur U Faulds,
79,Hornetaur U Coat,
80,High Metal U Faulds,
81,High Metal U Coat,
82,Gen U Faulds,
83,Gen U Coat,
84,Kut-Ku U Faulds,
85,Kut-Ku U Coat,
86,Io U Faulds,
87,Io U Coat,
88,Gypceros U Faulds,
89,Gypceros U Coat,
90,Cepha U Faulds,
91,Cepha U Coat,
92,Steel U Belt,
93,Rath Heart Faulds,
94,Rath Heart Coat,
95,Khezu U Faulds,
96,Khezu U Coat,
97,Rath Soul Faulds,
98,Rath Soul Coat,
99,Basarios U Faulds,
100,Basarios U Coat,
101,Diablos U Coil,
102,Diablos U Coat,
103,Monodevil Coil,
104,Monodevil Coat,
105,Gravios U Faulds,
106,Gravios U Coat,
107,忍の Obi・空,Shinobi Obi Sky
108,忍の Obi・海,Shinobi Waist Sea
109,Guardian U Coil,
110,Guardian U Coat,
111,Helper U Skirt,
112,Healer U Frill,
113,暁丸・皇 [Waist て】,Dawn Emperor [Waist]
114,曙丸・皇 [Waist て】,Dawn Emperor [Waist]
115,凛・皇 [Waist て】,Grace Emperor [Waist]
116,艶・皇 [Waist て】,Lustrous Emperor [Waist]
117,ミラ Vulcan Wing,Mira Vulcan Wing
118,ミラ Vulcan テイル,Mira Vulcan Tail
119,ゴールド Lune Coil,Gold Lune Coil
120,ゴールド Lune Coat,Gold Lune Coat
121,Silver Sol Coil,
122,Silver Sol Coat,
123,Leather S Belt,
124,C・ライトS Belt,C Light S Belt
125,Hunter's S Faulds,
126,Hunter's S Coat,
127,Bone S Faulds,
128,Bone S Coat,
129,Veloci S Faulds,
130,Veloci S Coat,
131,Battle S Faulds,
132,Battle S Coat,
133,Vespoid S Faulds,
134,Vespoid S Coat,
135,Hornetaur S Faulds,
136,Hornetaur S Coat,
137,High Metal S Faulds,
138,High Metal S Coat,
139,Gen S Faulds,
140,Gen S Coat,
141,Kut-Ku S Faulds,
142,Kut-Ku S Coat,
143,Io S Faulds,
144,Io S Coat,
145,Gypceros S Faulds,
146,Gypceros S Coat,
147,Cepha S Faulds,
148,Cepha S Coat,
149,Steel S Belt,
150,Rathian S Faulds,
151,Rathian S Coat,
152,Khezu S Faulds,
153,Khezu S Coat,
154,Rathalos S Faulds,
155,Rathalos S Coat,
156,Basarios S Faulds,
157,Basarios S Coat,
158,Diablos S Coil,
159,Diablos S Coat,
160,Monoblos S Coil,
161,Monoblos S Coat,
162,Gravios S Faulds,
163,Gravios S Coat,
164,忍の Obi・Heaven,Shinobi Waist Heaven
165,忍の Obi・Earth,Shinobi Waist Earth
166,Guild Guard Coil Crimson,
167,Guild Guard Coat Crimson,
168,Guild Guard Coil Crimson,
169,Guild Guard Coat Crimson,
170,暁丸・覇 [Waist て】,Akatsuki Supremacy [Waist]
171,曙丸・覇 [Waist て】,Dawn Conqueror [Waist]
172,凛・覇 [Waist て】,Grace Supremacy [Waist]
173,艶・覇 [Waist て】,Lustrous Champion [Waist]
174,Dragon S Wing,
175,Dragon Sテイル,Dragon S Tail
176,Hermitaur Faulds,
177,Hermitaur Coat,
178,Hermitaur U Faulds,
179,Hermitaur U Coat,
180,Hermitaur S Faulds,
181,Hermitaur S Coat,
182,Conga Faulds,
183,Conga Coat,
184,Conga U Faulds,
185,Conga U Coat,
186,Conga S Faulds,
187,Conga S Coat,
188,Blango Faulds,
189,Blango Coat,
190,Blango U Faulds,
191,Blango U Coat,
192,Blango S Faulds,
