index,source,target
0,Nothing Equipped,
1,Iron Sword,
2,Iron Sword+,
3,Buster Sword,
4,Cat's Soul,
5,Hellish Slasher,
6,Buster Blade,
7,Blue Wing,
8,Ravager Blade,
9,Lacerator Blade,
10,Iron Katana,
11,"Iron Katana ""Grace""",
12,"Iron Katana ""Gospel""",
13,"Bone Katana ""Wolf""",
14,"Bone Katana ""Shark""",
15,"Bone Katana ""Dragon""",
16,Black Katana Mk.Ⅰ,
17,Black Katana Mk.Ⅱ,
18,Defender,
19,"Wyvern Blade ""Azure""",
20,Sentinel,
21,Halberd,
22,"Wyvern Blade ""Leaf""",
23,Judgment,
24,Execution,
25,Execution+,
26,Dark Scythe,
27,Dark Torment,
28,Bone Blade,
29,Bone Blade+,
30,Jawblade,
31,Black Katana Mk.Ⅲ,
32,Wyvern Jawblade,
33,Red Stripe,
34,Golem Blade,
35,Valkyrie Blade,
36,Sigelinde,
37,Dragon Killer,
38,Red Scissor,
39,Fin Blade,
40,Ceanataur Blade,
41,Plesioth Watersword,
42,Red Wing,
43,Rath Blaze Sword,
44,Rusted G-Sword,
45,Tarnished G-Sword,
46,Blue Claw Blade,
47,Ancient Blade,
48,Bone,
49,Dragonwood L.Sword,
50,Fire Dragonsword,
51,Red Dragonsword,
52,Azure Serpentblade,
53,Diablos Sword,
54,Vile Serpentblade,
55,Iron Hammer,
56,Iron Hammer+,
57,War Hammer,
58,Torment Hammer,
59,War Mace,
60,Iron Striker,
61,Blue Head Hammer,
62,Twin Blos Hammer,
63,Iron Impact,
64,Spike Hammer,
65,Spike Hammer+,
66,Crystal Hammer,
67,Crystal Nova,
68,Anvil Hammer,
69,Venom Monster,
70,Bone Axe,
71,Lobstrosity,
72,Blood Bone Axe,
73,Gigaton Hammer,
74,Anchor Hammer F,
75,Combat Hammer,
76,Raven Torrent,
77,Graviton Hammer,
78,Bone Hammer,
79,Bone Hammer+,
80,Cyclops Hammer,
81,Dragonhead Hammer,
82,Atlas Hammer,
83,Skull Crush,
84,Skull Crush+,
85,Kut-Ku Jaw,
86,Great Cone,
87,Gigaton Hammer+,
88,Basarios Blow,
89,Blos Tail,
90,Jail Hammer,
91,Jadeite Mace,
92,Jade Mace,
93,Proto Gun Hammer,
94,Deadly Revolver,
95,Rusted Hammer,
96,Tarnished Hammer,
97,Steel Ice Hammer,
98,Breath Core Hammer,
99,Bone Clump,
100,Lrg Bone Clump,
101,Dragon Destroyer,
102,Dragon Breaker,
103,Iron Lance,
104,Iron Lance+,
105,Knight Lance,
106,Growling Wyvern,
107,Knight's Spear,
108,Paladin Lance,
109,Rampart,
110,Iron Gunlance,
111,Babel,
112,Iron Devil,
113,Iron Gunlance+,
114,Special Ops Gunlance,
115,Dark Lance,
116,Silver Rook,
117,Dark Squire,
118,Paralyzer,
119,Trident,
120,Bone Javelin,
121,Luna's Howl,
122,Spike Spear,
123,Aqua Spear,
124,Luna's Roar,
125,Lullaby Spear,
126,White Gunlance,
127,Bone Lance,
128,Bone Lance+,
129,Long Horn,
130,Black Cannon,
131,Long Tusk,
132,Barbarian Tusk,
133,Hellsting,
134,Hard Heater,
135,Ogre Lance,
136,Red Tail,
137,Scissor Gunlance,
138,Dragonwood Gunlance,
139,Diablo Horn,
140,Emerald Spear,
141,Diablo Spear,
142,Bone Claw Lance,
143,Crimson War Pike,
144,Venom Lance,
145,Blade Stinger,
146,Basarios Venom Spear,
147,Gravios Spear,
148,Gatling Lance,
149,Gatling Lance+,
150,Rusted Lance,
151,Tarnished Lance,
152,Kizami Stinger,
153,Undertaker,
154,Dragon Lance,
155,Demon Lance,
156,Hunter Knife,
157,Hunter Knife+,
158,Hunting Dagger,
159,Hunting Dagger+,
160,Assassin Dagger,
161,Kirin Bolt,
162,Kirin Bolt+,
163,Rusted Replica,
164,Kirin Bolt Ultimus,
165,Serpent Bite,
166,Velocidrome Bite,
167,Viper Bite,
168,Eternal Replica,
169,Deathprize,
170,Hydra Bite,
171,Flame Syphos,
172,Deadly Poison,
173,Thunderbane,
174,Princess Rapier,
175,Lightning Bane,
176,Princess Rapier+,
177,Poison Battleaxe,
178,Bone Kris,
179,Bone Kris+,
180,Bone Pick,
181,Bone Pick+,
182,Bone Nail,
183,Djinn,
184,Master Blade F,
185,Djinn+,
186,Blazing Falchion,
187,Weary Finsword,
188,Steel Ice Dagger,
189,Sandman Finsword,
190,Hero Blade F,
191,Frost Edge,
192,Studded Club,
193,Frost Edge+,
194,Spiked Bat,
195,Crimson Club,
196,Monoblos Club,
197,Rusted Sword,
198,Tarnished Sword,
199,Blue Ogre Sword,
200,Eternal Strife,
201,Rajang Club,
202,Taboo Rajang Club,
203,Dragonbuster,
204,Raven Blade,
205,Catspaw,
206,Catburglar,
207,Tactical Blade,
208,Eager Cleaver,
209,Divine Slasher,
210,Chrome Razor,
211,Eternal Annihilator,
212,Finishing Hammer,
213,Onslaught Hammer,
214,Binder Mace,
215,Fist of Fury,
216,Grayburg Javelin,
217,Requiem Spear,
218,Spear of Prominence,
219,Black Dragon Spear,
220,Twin Kut-Ku,
221,Corona,
222,Black Dragon Sword,
223,Odyssey,
224,Teddybear,
225,Estoc,
226,Ninja Sword,
227,Demon Rod,
228,Siegmund,
229,Frozen Tuna,
230,Great Demon Lance,
231,Valhalla,
232,Native Spear,
233,Steel Bison Ⅱ,
234,Twin Dagger,
235,Hi Twin Daggers,
236,Hurricane,
237,Pink Maracas,
238,Cyclone,
239,Dual Tomahawk,
240,Dual Tomahawk+,
241,Order Rapier,
242,Raven Tessen,
243,Holy Saber,
244,Prototype Saw-Slicer,
245,Sanctioned Blades,
246,Bone Scythe,
247,Bone Scythe+,
248,Cutlass,
249,Cutlass+,
250,Dual Diablo,
251,Dual Diablo+,
252,Insector,
253,Insector+,
254,Twin Flames,
255,Hi Twin Flames,
256,Gradios Ultimus,
257,Double Dragon,
258,Dual Dragon Ultimus,
259,Barbaroi Blade,
260,Crimson Goat,
261,Shiny Rathalos Sword,
262,"Torment ""Purgatory""",
263,White Disaster,
264,Velocidrome Bite+,
265,Steel Bison Ⅲ,
266,Crimson Scythe,
267,White Mantis,
268,Sentoryu Raven,
269,Teostra Blade,
270,True Dragon's Jaw,
271,Saber,
272,Lion Dance Saber,
273,Guardian Sword,
274,True Devil Slicer,
275,White Serpentblade,
276,Plesioth Crystasword,
277,Scythe of Menace,
278,Enforcer's Axe,
279,Plesioth Azureblade,
280,Smolder Dragonsword,
281,Blushing Dame,
282,Pale Kaiser,
283,Steel Ice Blade,
284,Steel Ice Blade+,
285,Devil Slicer,
286,Chrome Death Razor,
287,Eternal Eradicator,
288,Black Belt Blade,
289,Expert Blade,
290,Worn Greatsword,
291,Weathered Great Swd,
292,Crab Cutter,
293,Epitaph Blade,
294,Bone Horn,
295,War Drum,
296,Sonic Glass,
297,Sonic Glass+,
298,Devil Masher,
299,Sanctioned Gunhammer,
300,War Stamp,
301,War Basher,
302,Metal Bagpipe,
303,Dragon Demolisher,
304,Khezu Horn,
305,Kut-Ku Pick,
306,Great Nova,
307,Blessed Ocarina,
308,Black Belt Hammer,
309,Expert Hammer,
310,Worn Hammer,
311,Weathered Hammer,
312,Blessed Ocarina+,
313,Pulsating Core,
314,War Bongo,
315,Blood Horn,
316,Bronze Bell,
317,Dragonwood Horn,
318,Dark,
319,Sanctioned Gunlance,
320,Dragon Rider Spear,
321,Incessant Raven,
322,Black Ruiner Lance,
323,Black Tempest,
324,Steel Ice Spear,
325,Steel Ice Spear+,
326,Blue Tail,
327,Blue Prominence,
328,Thunderspear,
329,Black Gravios Spear,
330,Black Belt Lance,
331,Expert Lance,
332,Worn Spear,
333,Weathered Spear,
334,Teostra's Howl,
335,Matenro,
336,Dragonic Rim,
337,Void Gravios Spear,
338,Bladed Edge,
339,Bladed Edge+,
340,Odyssey Blade,
341,Deadly Battleaxe,
342,Kirin Bolt Indora,
343,Flaming Pair,
344,Black Ruiner Sword,
345,Cursed Spirit,
346,Rouge Flames,
347,Velociprey Claws,
348,Melting Wail,
349,Golden Falchion,
350,Sandman Spike,
351,High Sandman Spike,
352,Melynx Tool,
353,Black Belt Sword,
354,Expert Sword,
355,Hi Ninja Sword,
356,Thor's Dagger,
357,Ultimus Heaven & Earth,
358,Improved Power Saws,
359,Guild Knight Sabers,
360,Insect Slicer,
361,Corpse Blades,
362,Worn Blades,
363,Weathered Blades,
364,Melting Wail+,
365,Enduring Schism,
366,Oberion,
367,Titania,
368,Blos Ceramic Lance,
369,Death Venom Hammer,
370,Legendary Blades F,
371,Demonic Halberd,
372,Rusty Claymore,
373,Grind Claymore,
374,Steel Snake Ⅱ,
375,Chicken Decapitator,
376,Great Demon Rod,
377,Kirin Thundersword,
378,Fatalis Blade,
379,Kirin Bolts,
380,Fatalis Ancestor,
381,Susano Blade,
382,Daimyo Cutter,
383,"Wyvern Blade ""Verde""",
384,Lion King Saber,
385,Monoblos Scythe,
386,Frost Ripper,
387,Imperial Sword,
388,Dragonwood Godblade,
389,"Wyvern Blade ""Maple""",
390,Great Demon Halberd,
391,Gaelic Flame,
392,Bone Horn+,
393,War Drum+,
394,Glass Queen,
395,Khezu Flute,
396,Great Bagpipe,
397,Cursed Ocarina,
398,War Conga,
399,Blood Flute,
400,Gaoren Bell,
401,Spirit Dragonwood Horn,
402,Steel Gunlance,
403,Big Slugger,
404,Hell Stinger,
405,White Cannon,
406,Luna's Flare,
407,Scissor Cannon,
408,Black Gore Cannon,
409,Gun Chariot,
410,Gld Dragonwood GLance,
411,Imperial Gunlance,
412,Great Scissor,
413,King Thundersword,
414,Doara's Decimator,
415,Killer's Scythe,
416,Sentoryu Wolf,
417,Rooster Decapitator,
418,Red Stripe+,
419,Diablo Destroyer,
420,Teostra Kingblade,
421,Fatalis Blackblade,
