index,source,target
0,装備無し,No Equipment
1,"A cheap Bowgun, mass-{j}produced at the Smithy.{j}Ideal for first-time users.",
2,Fitted with an experimental{j}rapid-fire mechanism. Allows{j}{c03}rapid fire{/c} of {c03}Normal S Lv1{/c}.,
3,Light Bowgun toughened with{j}materials from a Hermitaur.{j}More powerful than usual.,
4,Light Bowgun specially made{j}for hunting single monsters.{j}Can't use most support ammo.,
5,Upgraded Light Bowgun made{j}for hunting single monsters{j}in a more deadly fashion.,
6,Straight-framed Light Bowgun{j}mainly used for firing{j}pellet ammo.,
7,"An upgraded pellet-firing{j}Light Bowgun, capable of{j}firing high-grade shells.",
8,An upgraded pellet-firing{j}Light Bowgun than can fire{j}many types of support ammo.,
9,Slender Light Bowgun with{j}improved ammo diversity at{j}the expense of power.,
10,"A Light Bowgun designed to{j}reload quickly, letting you{j}fight highly mobile battles.",
11,Fires many types of low/{j}mid-grade assault ammo.{j}{c03}Rapid fires{/c} {c03}Crag S Lv1{/c}.,
12,Light Bowgun that can fire{j}many types of mid/high-{j}grade assault ammo.,
13,The most widely-used Heavy{j}Bowgun. Its versatility{j}makes it very popular.,
14,Heavy Bowgun with a bone-{j}reinforced generic frame.{j}Fires a wider range of ammo.,
15,Heavy Bowgun that fires all{j}grades of pellets and works{j}well with support ammo.,
16,"Heavy Bowgun with a faster{j}reload time. Versatile, but{j}fires low-grade shells.",
17,"Made from Kirin parts. It's{j}beautiful, but that doesn't{j}mean it's less powerful.",
18,"Heavy Bowgun made from{j}precious metal. A simple{j}design, but very powerful.",
19,Cannon made from Yian Kut-Ku{j}that requires a certain{j}level of skill to operate.,
20,Black Heavy Bowgun made{j}from Yian Gargua parts. One{j}blast penetrates any shield.,
21,"The ultimate Heavy Bowgun,{j}made from Lao-Shan parts.{j}Great at attack and defense.",
22,"Oddly-shaped Heavy Bowgun,{j}said to be a prototype for{j}firing a certain ammo type.",
23,Heavy Bowgun developed for{j}firing special ammo that's{j}used to take down dragons.,
24,An obscure Heavy Bowgun that{j}differs from Guild designs.{j}Extremely powerful.,
25,{c03}Rapid fires{/c} {c03}Pellet S Lv1{/c} and{j}has a large magazine.{j}Elegant but deadly.,
26,Very Heavy Bowgun modeled{j}on a black Gravios. Roars{j}like a dragon when fired.,
27,Very powerful weapon that{j}fires in destructive waves.{j}Difficult to handle.,
28,Light Bowgun. Fires a range{j}of attribute/support ammo.{j}Ideal for rearguard actions.,
29,"Designed for 1-to-1 combat,{j}as evidenced by the fact it{j}can {c03}rapid fire{/c} {c03}Normal S Lv2{/c}.",
30,A Bowgun that's perfect for{j}fighting large monsters.{j}Ideal at short/medium range.,
31,Pink Bowgun that focuses its{j}great firepower on one spot.{j}{c03}Rapid fires{/c} {c03}Normal S Lv2{/c}.,
32,{c03}Rapid fires{/c} {c03}Pellet S Lv1{/c} and{j}can cluster fire. Power and{j}versatility are improved.,
33,"Designed for 1-to-1 combat,{j}as evidenced by the fact it{j}can {c03}rapid fire{/c} {c03}Pierce S Lv1{/c}.",
34,The ideal Bowgun for taking{j}on big monsters. Pressure-{j}adjusted for greater power.,
35,Red Bowgun that focuses its{j}great firepower on one spot.{j}{c03}Rapid fires{/c} {c03}Pierce S Lv1{/c}.,
36,Multi-purpose silver Bowgun.{j}{c03}Rapid fires{/c} {c03}Pierce S Lv1{/c} and{j}three attribute ammo types.,
37,Fearsomely powerful with{j}reduced kickback. Useful{j}against flying Wyverns.,
38,Two guns in one. {c03}Rapid fires{/c}{j}{c03}Normal S Lv2{/c} and {c03}Pierce S {j}{c03}Lv1{/c}. Also fires pellet ammo.,
39,Black Bowgun that destroys{j}targets with one attack.{j}{c03}Rapid fires{/c} {c03}Flaming S{/c}.,
40,{c03}Rapid fires{/c} both {c03}Normal S{j}{c03}Lv2{/c} and {c03}Pierce S Lv 1{/c}. Ideal{j}for fighting flying Wyverns.,
41,Powerful gun that can {c03}rapid{j}{c03}fire{/c} {c03}Pellet S Lv1{/c} and {c03}Pierce{j}{c03}S Lv1{/c}. Also cluster fires.,
42,Improved Bowgun that focuses{j}on attacking wide areas. Its{j}power has also been boosted.,
43,Fires attribute ammo that{j}lets you take on big beasts.{j}Requires skill to use.,
44,"A versatile weapon. Cluster{j}fire to damage several foes,{j}or use support ammo.",
45,"{c03}Rapid fires{/c} {c03}Pellet S Lv1{/c},{j}bringing down targets in a{j}hail of bullets.",
46,Fires almost all ammo types.{j}A groundbreaking Light{j}Bowgun with boosted power.,
47,"Small, fast-loading weapon.{j}{c03}Rapid fires{/c} {c03}Normal S Lv2{/c}{j}and has a larger magazine.",
48,Weapon with a strengthened{j}chamber. Its power has been{j}boosted to the very limit.,
49,"Designed to fire attribute{j}ammo., {c03}Rapid fires{/c}{j}{c03}Normal S Lv2{/c}. Very advanced.",
50,An improved version. Faster{j}loading and more powerful.{j}{c03}Rapid fires{/c} {c03}Crag S Lv1{/c}.,
51,"Improved assault Bowgun,{j}designed to use more{j}destructive ammunition.",
52,Capable of rapidly pumping{j}out various assault ammo.{j}{c03}Rapid fires{/c} {c03}Flaming S{/c}.,
53,Light Bowgun made from Yian{j}Kut-Ku skull. Fires with the{j}monster's explosive rage.,
54,Bowgun that turns the glare{j}of a Blue Yian Ku-Ku onto{j}its unfortunate target.,
55,Made from blood and sweat{j}spilt during training.{j}{c03}Rapid fires{/c} {c03}Thunder S{/c}.,
56,"Given to those who excel in{j}training. Its inscription{j}says: ""100 shots, 100 hits.""",
57,Light Bowgun carved from{j}ancient rock. Different to{j}normal Guild weapons.,
58,Light Bowgun of unknown{j}origin. The Guild have{j}denied all knowledge of it.,
59,"Light Bowgun, said to belong{j}to a captured spy. The Guild{j}denied all knowledge.",
60,A weapon used by a character{j}in a popular novel. {c03}Rapid{j}{c03}fires{/c} {c03}Thunder S{/c}.,
61,Versatile Heavy Bowgun that{j}uses the latest technology.{j}A really destructive weapon.,
62,"An improved Tankmage that's{j}so powerful, the bearer is{j}practically invincible.",
63,Advanced Tankmage that fires{j}attribute ammo. As powerful{j}as a fortress cannon.,
64,"Bowgun with an improved{j}loading mechanism, allowing{j}for even faster reloading.",
65,"In order to maximize power{j}and reload speed, its ammo{j}selection is very limited.",
66,The Bowgun you need when the{j}ammo isn't important and you{j}just want raw power.,
67,"Though limited to three ammo{j}types, this weapon boasts{j}great destructive power.",
68,"Boasts a quick reload time{j}and great power, but its{j}ammo selection is limited.",
69,Its simpler design gives it{j}more power. It also reloads{j}quickly. A good all-rounder.,
70,Some won't touch this weapon{j}made from dragon body parts.{j}Its exact power is unclear.,
71,Curious Bowgun inspired by{j}an ancient text. Its inner{j}workings are a secret.,
72,Wide-barreled Heavy Bowgun.{j}Made from Kut-Ku parts that{j}are very resistant to fire.,
73,"Made from Lao-Shan parts, it{j}boasts power comparable to{j}that of a fortress cannon.",
74,"The ultimate Bowgun, made{j}using the best materials and{j}know-how available.",
