index,source,target
0,Nothing Equipped,
1,Cross Bowgun,
2,Cross Bowgun+,
3,Hornet Gun,
4,Valkyrie Fire,
5,Spartacus Fire,
6,Shotgun (Azure),
7,Shotgun (Green),
8,Shotgun (Blood),
9,Maelstrom,
10,Desert Storm,
11,Grenade Launcher,
12,Titan Launcher,
13,Arbalest,
14,Arbalest+,
15,Tankmage,
16,Rapidcaster,
17,Quickcaster,
18,Meteor Cannon,
19,Blue Kut-Ku Cannon,
20,Raven Heirloom,
21,Lao-Shan Lung Cannon,
22,Injection Gun,
23,Last Needle,
24,Demonlock,
25,Shotgun (White),
26,Gravios Roar,
27,Mega Kut-Ku Cannon,
28,S.Cross Bowgun,
29,Valkyrie Heart,
30,Valkyrie Blaze,
31,Valkyrie Heart+,
32,Gold Valkyrie,
33,Spartacus Soul,
34,Spartacus Blaze,
35,Spartacus Soul+,
36,Silver Spartacus,
37,Crimson Blue,
38,Azure Sakura,
39,Uranos Grenade,
40,Supreme Azure Sakura,
41,Profusion,
42,Aqua Blade Shower,
43,Green Blade Shower,
44,Crimson Blade Shower,
45,Bullet Storm,
46,Maelstrom+,
47,Sandfall,
48,Desert Tempest,
49,Sandfall+,
50,Grenade Launcher+,
51,Titan Launcher+,
52,Chronos Grenade,
53,Kut-Ku Anger,
54,Kut-Ku Rage,
55,Black Belt Bowgun,
56,Expert Bowgun,
57,Island of the Gods,
58,Dark Parasol,
59,Angel Parasol,
60,Sakura Parasol,
61,S.Arbalest,
62,Tankmage+,
63,Bastionmage,
64,Quickcaster+,
65,Duelcaster,
66,Duelcaster+,
67,Monodevilcaster,
68,Monodevilcaster+,
69,Meteor Buster,
70,Vor Cannon,
71,Destiny's Hand,
72,Mega Kut-Ku Cannon,
73,Supreme Lao-Shan Cannon,
74,Emperor Lao-Shan Cannon,
75,Honeycomber,
76,Gravios Howl,
77,Golden Lion,
78,Hunter Bow III,
79,Wild Bow III,
80,Power Wild Bow II,
81,Queen Blaster II,
82,Heart Shot Bow II,
83,Prominence Bow II,
84,Sonic Bow III,
85,Blos Horn Bow II,
86,Dragon Bow【Landslide】,
87,Courageous Hope II,
88,Dragon Bow【Sunflower】,
89,Annihilation Bow I,
90,Victory＆Glory Bow,
91,Blessed Lamp,
92,Raven Do,
93,Tail String,
94,Rajang Barrage,
95,Fire Wrath,
96,Lobster Gun,
97,Jade Storm,
98,Daora's Delphinidae,
99,Wolf Heirloom,
100,Buster Crab,
101,Gaoren's Fire,
102,Rock Eater,
103,Jade Tempest,
104,King Lobster Gun,
105,Wolf Do,
106,Dragon Bow【Full Moon】,
107,Power Hunter Bow II,
108,Hunter Bow I,
109,Hunter Bow II,
110,Wild Bow I,
111,Wild Bow II,
112,Power Wild Bow I,
113,Queen Blaster I,
114,Heart Shot Bow I,
115,Prominence Bow I,
116,Sonic Bow I,
117,Sonic Bow II,
118,Blos Horn Bow I,
119,"Dragon Bow ""Uprising""",
120,Courageous Hope I,
121,Power Hunter Bow I,
122,Dragon Head,
123,Magic Lamp,
124,Real=Daora,
125,Earth Eater,
126,Heavy Buster Crab,
127,Daora's Grande,
128,Wing Bow I,
129,Wing Bow II,
130,Wing Bow III,
131,Nix Farbow Ⅰ,
132,Nix Farbow ⅠⅠ,
133,Icehide Bow,
134,Kut-Ku Bow Ⅰ,
135,Kut-Ku Bow Ⅱ,
136,Kut-Ku Bow Ⅲ,
137,Blue Kut-Ku Bow,
138,Heartless Bandage,
139,Power Sand,
140,Pressurized Plesioth,
141,Stinger,
142,Icethrower,
143,Quick Bow,
144,Khezu Bow,
145,Oobasami Ⅰ,
146,Oobasami Ⅱ,
147,Oobasami Ⅲ,
148,Oobasami Ⅳ,
149,Dummy (LB),
150,Felyne Ragdoll,
151,Melynx Ragdoll,
152,Felyne Helldoll,
153,Melynx Helldoll,
154,Tail Catapult,
155,Peach Parasol,
156,Ladybug Cannon,
157,Lunastra's Azul Cannon,
158,Teostra's Artillery,
159,Seven Stars,
160,Hunter Bow Ⅳ,
161,Wild Bow Ⅳ,
162,Power Hunter Bow Ⅲ,
163,Queen Blaster Ⅲ,
164,Prominence Bow Ⅲ,
165,Teostra's Flames,
166,Tigrex Tank,
167,Tigrex Wargun,
168,Tigrex Howl,
169,Dummy (HB),
170,Tigrex Skull,
171,Tigre Arrow Ⅰ,
172,Tigre Arrow Ⅱ,
173,Bow of the Wind God,
174,Sonic Bow Ⅳ,
175,Expert Bowgun+,
176,Brilliant Bow,
177,Steel Raven Ⅰ,
178,Eos Mash,
179,Steel Raven Ⅱ,
180,Steel Raven Ⅲ,
181,Heaven Lao-Shan Cannon,
182,Earth Lao-Shan Cannon,
183,Sonic Bow Ⅴ,
184,Mackerel V,
185,Power Wild Bow Ⅲ,
186,White Cradle,
187,White Crescent,
188,Rosen Kugel,
189,Rosen Waffe,
190,Rosen Prima,
191,Rosen Gewehr,
192,Rosen Jaeger,
193,Rosen Siegen,
194,Rosen Bogen,
195,Rosen Rakete,
196,Rosen Sichel,
197,Lava Blaster,
198,Iron Fire Gun,
199,"Torrent Bow ""Umibozu""",
200,"Stream Bow ""Mermaid""",
201,Khezu Bow Ⅱ,
202,Khezu Bow Ⅲ,
203,Mantle Eater SP,
204,Moon Buster SP,
205,Bustercanse SP,
206,Crossbow Monster Gun SP,
207,Snail SP,
208,Haunted Crossbow SP,
209,Kernel Bowgun SP,
210,Green Parasol SP,
211,Kaiden Bowgun,
212,Blue Kut-Ku Coin Bow,
213,Power Hunter Bow IV,
214,"Dragon Bow ""Eclipse""",
215,Plesioth Subillo,
216,Lunastra's Azul Missile,
217,Baston Blaster,
218,Kantharos Rifle,
219,Magical Lamp,
220,Rajang Cannon,
221,Gastraphetes SP,
222,Pink Needle SP,
223,Armored Dragon Gun SP,
224,Lobster Gun SP,
225,Cannon Bowgun SP,
226,Kinnekoju SP,
227,Rapid Bow,
228,Steel Raven Ⅳ,
229,Steel Puffer Ⅰ,
230,Steel Puffer Ⅱ,
231,Steel Puffer Ⅲ,
232,Steel Puffer Ⅳ,
233,Metal Frame,
234,Ice Storm,
235,Mighty Cast,
236,Kaktus Kugel,
237,Kaktus Waffe,
238,Sleeping Beast,
239,Shotgun (Sun),
240,Shotgun (Shadow),
241,Kaktus Gewehr,
242,Kaktus Jaeger,
243,Black Block bow,
244,Black Block Broken Bow,
245,Khezu Bow Ⅳ,
246,Mackerel Ⅵ,
247,Sonic Bow Ⅵ,
248,Kaktus Bogen,
249,Kaktus Rakete,
250,Crimson Devil SP,
251,Plesioth Crasher,
252,Black Soul SP,
253,Squall Bullets SP,
254,Lio Storm,
255,Vashimu Gun,
256,Vashimu Fire,
257,Lavafish Gun,
258,Gia Smash,
259,Kautschuk,
260,Elastikautschuk,
261,Khezu Bow V,
262,Queen Blaster IV,
263,Raging Ladybug Gun SP,
264,Rex Blaster SP,
265,Kut-Ku Roar,
266,Lyra Rex SP,
267,Primakaktus,
268,Rubino Splash,
269,Kaktus Siegen,
270,Jebia Gun,
271,Jebia Fire,
272,Wild Fungus,
273,Steel Killi Ⅰ,
274,Steel Killi Ⅱ,
275,Steel Killi Ⅳ,
276,Steel Killi Ⅳ,
277,VLS-0233,
278,Kaktus Sichel,
279,Daora's Cisne Ⅰ,
280,Daora's Cisne Ⅱ,
281,Prominence Bow IV,
282,Tigre Arrow III,
283,Daora's Argen SP,
284,Lava Tyrant SP,
285,Living Lamp SP,
